participant #,condition,sheet #,experimenters,date,time,age,gender,A1,B1,C1,isBlickA1,isBlickB1,isBlickC1,D1,E1,F1,isBlickD1,isBlickE1,isBlickF1,A2,B2,C2,isBlickA2,isBlickB2,isBlickC2,D2,E2,F2,isBlickD2,isBlickE2,isBlickF2,changedAnswer,includeRep1,includeRep2,DBlickNum,notes
1,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,2,
2,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,2,
3,C,3*,CL,03/08/10,09:00:00,23,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,1,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
4,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
5,C,3*,CL,,09:00:00,18,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,"Date recorded as ""3/7/2010?"""
6,C,3*,CL,03/08/10,09:00:00,20,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
7,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,1,
8,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,2,
88,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,0,0,1,green,blue,orange,0,0,0,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
10,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,1,1,0.5,1,
11,C,3*,CL,03/08/10,09:00:00,22,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
12,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
13,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,1,green,blue,orange,0,0,0,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,1,
14,C,3*,CL,03/08/10,09:00:00,20,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
15,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,circle,triangle,square,0,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
16,C,3*,CL,03/08/10,09:00:00,20,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,0,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,1,
17,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,1,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,1,0,cone,star,ball,0,1,0,0,1,0.5,0,
19,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,1,1,0.5,0,
20,C,3*,CL,03/08/10,09:00:00,21,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,1,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
21,C,3*,CL,03/08/10,09:00:00,20,M,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,0,1,0,cone,star,ball,0,0,1,0,1,0.5,0,
22,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
23,C,3*,CL,03/08/10,09:00:00,20,F,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
24,C,3*,CL,03/08/10,09:00:00,20,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
25,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
26,C,3*,CL,03/08/10,09:00:00,21,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
27,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,1,1,cone,star,ball,0,0,1,0,1,0.5,0,
28,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
29,C,3*,CL,03/08/10,09:00:00,22,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
30,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
31,C,3*,CL,03/08/10,09:00:00,21,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,1,1,0.5,1,
32,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
87,C,3*,CL,03/08/10,09:00:00,21,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
34,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,1,0,1,green,blue,orange,1,1,0,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,1,1,0.5,2,
35,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,1,0,1,0,1,0.5,1,
36,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
37,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,1,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,1,1,0.5,0,
38,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
39,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,1,1,0.5,0,
40,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,1,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
41,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
42,C,3*,CL,03/08/10,09:00:00,26,M,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,0,1,0.5,1,
43,C,3*,CL,03/08/10,09:00:00,N/A,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
44,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,0,cone,star,ball,0,1,1,0,1,0.5,0,
45,C,3*,CL,03/08/10,09:00:00,21,M,red,purple,yellow,0,1,0,green,blue,orange,0,1,0,circle,triangle,square,0,1,0,cone,star,ball,0,0,0,1,1,0.5,0,
46,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,1,0,0,1,0.5,0,
47,C,3*,CL,03/08/10,09:00:00,21,F,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
48,C,3*,CL,03/08/10,09:00:00,20,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
49,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,1,1,0.5,0,
50,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,0,cone,star,ball,1,1,0,0,1,0.5,1,
51,C,3*,CL,03/08/10,09:00:00,20,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
52,C,3*,CL,03/08/10,09:00:00,20,M,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,0,0,1,cone,star,ball,1,1,1,0,1,0.5,1,
53,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
54,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
55,C,3*,CL,03/08/10,09:00:00,21,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,1,1,0.5,0,
56,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,2,
57,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,0,cone,star,ball,0,1,1,0,1,0.5,0,
58,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,0,1,0.5,1,
59,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,1,1,0,green,blue,orange,0,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
60,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,2,
61,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,1,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
62,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,1,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,1,
63,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,0,1,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,1,1,0.5,0,
64,C,3*,CL,03/08/10,09:00:00,18,M,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,2,
65,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,circle,triangle,square,1,0,0,cone,star,ball,0,0,0,1,1,0.5,0,
86,C,3*,CL,03/08/10,09:00:00,20,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,1,0,1,cone,star,ball,0,1,1,0,1,0.5,0,
67,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,1,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
68,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,0,1,0.5,2,
69,C,3*,CL,03/08/10,09:00:00,19,M,red,purple,yellow,0,0,0,green,blue,orange,0,0,0,circle,triangle,square,0,0,0,cone,star,ball,0,0,0,0,1,0.5,0,
70,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,circle,triangle,square,0,0,1,cone,star,ball,0,0,1,0,1,0.5,0,
71,C,3*,CL,03/08/10,09:00:00,18,F,red,purple,yellow,0,0,0,green,blue,orange,0,0,1,circle,triangle,square,0,0,0,cone,star,ball,0,0,1,0,1,0.5,0,
72,C,3*,CL,03/08/10,09:00:00,19,F,red,purple,yellow,0,0,1,green,blue,orange,1,0,0,circle,triangle,square,1,0,1,cone,star,ball,1,0,1,1,1,0.5,2,
