participant #,condition,sheet #,experimenters,date,time,age,gender,A1,B1,C1,isBlickA1,isBlickB1,isBlickC1,D1,E1,F1,isBlickD1,isBlickE1,isBlickF1,A2,B2,C2,isBlickA2,isBlickB2,isBlickC2,D2,E2,F2,isBlickD2,isBlickE2,isBlickF2,changedAnswer,includeRep1,includeRep2,DBlickNum
55,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
54,DOR2,3*,CL,3/30/10,5:00:00 pm,22,M,red,purple,yellow,1,1,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
53,DOR2,3*,CL,3/30/10,5:00:00 pm,18,F,red,purple,yellow,1,1,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,,1,0,1,0.5,0
52,DOR2,3*,CL,3/30/10,5:00:00 pm,20,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
51,DOR2,3*,CL,3/30/10,5:00:00 pm,21,F,red,purple,yellow,1,1,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,1,1,0.5,0
50,DOR2,3*,CL,3/30/10,5:00:00 pm,18,M,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,1
49,DOR2,3*,CL,3/30/10,5:00:00 pm,20,F,red,purple,yellow,1,1,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
48,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,1,1,triangle,square,circle,1,0,1,cone,star,ball,0,1,1,0,1,0.5,0
47,DOR2,3*,CL,3/30/10,5:00:00 pm,24,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
46,DOR2,3*,CL,3/30/10,5:00:00 pm,22,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
45,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
44,DOR2,3*,CL,3/30/10,5:00:00 pm,18,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,0,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
43,DOR2,3*,CL,3/30/10,5:00:00 pm,18,F,red,purple,yellow,1,0,1,green,blue,orange,0,1,1,triangle,square,circle,1,0,1,cone,star,ball,0,1,1,0,1,0.5,0
42,DOR2,3*,CL,3/30/10,5:00:00 pm,18,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
41,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,1,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
40,DOR2,3*,CL,3/30/10,5:00:00 pm,19,M,red,purple,yellow,0,1,0,green,blue,orange,1,0,0,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,1
39,DOR2,3*,CL,3/30/10,5:00:00 pm,20,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
38,DOR2,3*,CL,3/30/10,5:00:00 pm,22,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
37,DOR2,3*,CL,3/30/10,5:00:00 pm,21,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
36,DOR2,3*,CL,3/30/10,5:00:00 pm,20,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
35,DOR2,3*,CL,3/30/10,5:00:00 pm,21,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,1,1,0.5,0
34,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,1,1,1,triangle,square,circle,1,0,1,cone,star,ball,0,1,1,0,1,0.5,1
33,DOR2,3*,CL,3/30/10,5:00:00 pm,21,M,red,purple,yellow,1,0,1,green,blue,orange,0,1,1,triangle,square,circle,1,0,1,cone,star,ball,1,1,0,0,1,0.5,1
32,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,1,1,0,1,0.5,0
31,DOR2,3*,CL,3/30/10,5:00:00 pm,21,F,red,purple,yellow,1,0,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,1,1,0.5,0
30,DOR2,3*,CL,3/30/10,5:00:00 pm,20,F,red,purple,yellow,1,1,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
29,DOR2,3*,CL,3/30/10,5:00:00 pm,19,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
28,DOR2,3*,CL,3/30/10,5:00:00 pm,19,M,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
27,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
26,DOR2,3*,CL,3/30/10,5:00:00 pm,19,M,red,purple,yellow,1,0,1,green,blue,orange,1,1,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,1
25,DOR2,3*,CL,3/30/10,5:00:00 pm,19,M,red,purple,yellow,1,1,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
24,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
23,DOR2,3*,CL,3/30/10,5:00:00 pm,21,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
22,DOR2,3*,CL,3/30/10,5:00:00 pm,21,F,red,purple,yellow,1,0,0,green,blue,orange,0,0,1,triangle,square,circle,1,0,0,cone,star,ball,0,0,1,0,1,0.5,0
21,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,1,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,1
20,DOR2,3*,CL,3/30/10,5:00:00 pm,19,F,red,purple,yellow,1,0,1,green,blue,orange,0,0,1,triangle,square,circle,1,0,1,cone,star,ball,0,0,1,0,1,0.5,0
